,Latitude,Longitude,Mosquito_collection_year_end,IR_Test_.mortality,AFR_PPP_2015_adj_v2,X2015_-1ture_Africa_ITN.2015,X2015_-1ture_Africa_PfPR.2015,layer,cells,AFR_PPP_2015_adj_v2.1,X2015_-1ture_Africa_ITN.2015.1,X2015_-1ture_Africa_PfPR.2015.1,layer.1
118,-17.94053,49.14608,2016,99,1315.032349,0.981242002,0.033323314,1,2239023,1315.032322,0.981242002,0.033323314,1
119,-17.94053,49.14608,2016,100,1315.032349,0.981242002,0.033323314,1,2239023,1315.032322,0.981242002,0.033323314,1
155,-17.94053,49.14608,2016,97,1315.032349,0.981242002,0.033323314,1,2239023,1315.032322,0.981242002,0.033323314,1
156,-17.94053,49.14608,2016,91,1315.032349,0.981242002,0.033323314,1,2239023,1315.032322,0.981242002,0.033323314,1
157,-17.94053,49.14608,2016,99,1315.032349,0.981242002,0.033323314,1,2239023,1315.032322,0.981242002,0.033323314,1
158,-17.94053,49.14608,2016,95,1315.032349,0.981242002,0.033323314,1,2239023,1315.032322,0.981242002,0.033323314,1
1247,-17.972445,47.026535,2014,98,439.376709,0.80799872,0.058917556,1,2240653,439.3767093,0.80799872,0.058917556,1
1248,-17.972445,47.026535,2014,96,439.376709,0.80799872,0.058917556,1,2240653,439.3767093,0.80799872,0.058917556,1
1249,-17.972445,47.026535,2014,80,439.376709,0.80799872,0.058917556,1,2240653,439.3767093,0.80799872,0.058917556,1
1275,-17.972445,47.026535,2014,100,439.376709,0.80799872,0.058917556,1,2240653,439.3767093,0.80799872,0.058917556,1
1276,-17.972445,47.026535,2014,99,439.376709,0.80799872,0.058917556,1,2240653,439.3767093,0.80799872,0.058917556,1
1277,-17.972445,47.026535,2014,93,439.376709,0.80799872,0.058917556,1,2240653,439.3767093,0.80799872,0.058917556,1
1278,-17.972445,47.026535,2014,98,439.376709,0.80799872,0.058917556,1,2240653,439.3767093,0.80799872,0.058917556,1
547,-18.150355,49.410183,2015,93,199631.2344,0.678941042,0.020580279,1,2247434,199631.2302,0.678941042,0.020580279,1
548,-18.150355,49.410183,2015,92,199631.2344,0.678941042,0.020580279,1,2247434,199631.2302,0.678941042,0.020580279,1
549,-18.150355,49.410183,2015,96,199631.2344,0.678941042,0.020580279,1,2247434,199631.2302,0.678941042,0.020580279,1
550,-18.150355,49.410183,2015,100,199631.2344,0.678941042,0.020580279,1,2247434,199631.2302,0.678941042,0.020580279,1
551,-18.150355,49.410183,2015,98,199631.2344,0.678941042,0.020580279,1,2247434,199631.2302,0.678941042,0.020580279,1
552,-18.150355,49.410183,2015,97,199631.2344,0.678941042,0.020580279,1,2247434,199631.2302,0.678941042,0.020580279,1
209,-18.2111,28.4866,2016,92,711.5245972,0.475334075,0.04400491,1,2250294,711.5245679,0.475334075,0.04400491,1
888,-18.2111,28.4866,2015,79.5,711.5245972,0.475334075,0.04400491,1,2250294,711.5245679,0.475334075,0.04400491,1
1565,-18.2111,28.4866,2014,100,711.5245972,0.475334075,0.04400491,1,2250294,711.5245679,0.475334075,0.04400491,1
1566,-18.2111,28.4866,2014,100,711.5245972,0.475334075,0.04400491,1,2250294,711.5245679,0.475334075,0.04400491,1
1573,-18.2111,28.4866,2014,100,711.5245972,0.475334075,0.04400491,1,2250294,711.5245679,0.475334075,0.04400491,1
1574,-18.2111,28.4866,2014,100,711.5245972,0.475334075,0.04400491,1,2250294,711.5245679,0.475334075,0.04400491,1
1570,-18.33305,29.91527,2014,72,12622.78613,0.405029211,0.020635633,1,2253690,12622.78625,0.405029211,0.020635633,1
1571,-18.33305,29.91527,2014,72,12622.78613,0.405029211,0.020635633,1,2253690,12622.78625,0.405029211,0.020635633,1
1195,-18.31722,47.11611,2014,100,484.5869141,0.70758653,0.044115696,1,2254103,484.5869074,0.70758653,0.044115696,1
1196,-18.31722,47.11611,2014,98,484.5869141,0.70758653,0.044115696,1,2254103,484.5869074,0.70758653,0.044115696,1
1197,-18.31722,47.11611,2014,96,484.5869141,0.70758653,0.044115696,1,2254103,484.5869074,0.70758653,0.044115696,1
1198,-18.31722,47.11611,2014,100,484.5869141,0.70758653,0.044115696,1,2254103,484.5869074,0.70758653,0.044115696,1
1199,-18.31722,47.11611,2014,80,484.5869141,0.70758653,0.044115696,1,2254103,484.5869074,0.70758653,0.044115696,1
1200,-18.31722,47.11611,2014,80,484.5869141,0.70758653,0.044115696,1,2254103,484.5869074,0.70758653,0.044115696,1
1213,-18.31722,47.11611,2014,98,484.5869141,0.70758653,0.044115696,1,2254103,484.5869074,0.70758653,0.044115696,1
1214,-18.31722,47.11611,2014,96,484.5869141,0.70758653,0.044115696,1,2254103,484.5869074,0.70758653,0.044115696,1
1215,-18.31722,47.11611,2014,100,484.5869141,0.70758653,0.044115696,1,2254103,484.5869074,0.70758653,0.044115696,1
2151,-18.31722,47.11611,2013,100,484.5869141,0.70758653,0.044115696,1,2254103,484.5869074,0.70758653,0.044115696,1
2152,-18.31722,47.11611,2013,100,484.5869141,0.70758653,0.044115696,1,2254103,484.5869074,0.70758653,0.044115696,1
2153,-18.31722,47.11611,2013,100,484.5869141,0.70758653,0.044115696,1,2254103,484.5869074,0.70758653,0.044115696,1
2154,-18.31722,47.11611,2013,100,484.5869141,0.70758653,0.044115696,1,2254103,484.5869074,0.70758653,0.044115696,1
2155,-18.31722,47.11611,2013,100,484.5869141,0.70758653,0.044115696,1,2254103,484.5869074,0.70758653,0.044115696,1
2156,-18.31722,47.11611,2013,100,484.5869141,0.70758653,0.044115696,1,2254103,484.5869074,0.70758653,0.044115696,1
2177,-18.31722,47.11611,2013,100,484.5869141,0.70758653,0.044115696,1,2254103,484.5869074,0.70758653,0.044115696,1
2178,-18.31722,47.11611,2013,100,484.5869141,0.70758653,0.044115696,1,2254103,484.5869074,0.70758653,0.044115696,1
2179,-18.31722,47.11611,2013,100,484.5869141,0.70758653,0.044115696,1,2254103,484.5869074,0.70758653,0.044115696,1
2180,-18.31722,47.11611,2013,100,484.5869141,0.70758653,0.044115696,1,2254103,484.5869074,0.70758653,0.044115696,1
2181,-18.31722,47.11611,2013,100,484.5869141,0.70758653,0.044115696,1,2254103,484.5869074,0.70758653,0.044115696,1
1560,-18.6154,32.6723,2014,25,1765.277222,0.566449318,0.033176515,1,2265524,1765.277225,0.566449318,0.033176515,1
1561,-18.6154,32.6723,2014,30,1765.277222,0.566449318,0.033176515,1,2265524,1765.277225,0.566449318,0.033176515,1
1567,-18.6154,32.6723,2014,53,1765.277222,0.566449318,0.033176515,1,2265524,1765.277225,0.566449318,0.033176515,1
1225,-18.81777,47.43361,2014,100,11509.79883,0.485148453,0.022177195,1,2274283,11509.7984,0.485148453,0.022177195,1
1226,-18.81777,47.43361,2014,98,11509.79883,0.485148453,0.022177195,1,2274283,11509.7984,0.485148453,0.022177195,1
1227,-18.81777,47.43361,2014,98,11509.79883,0.485148453,0.022177195,1,2274283,11509.7984,0.485148453,0.022177195,1
1228,-18.81777,47.43361,2014,96,11509.79883,0.485148453,0.022177195,1,2274283,11509.7984,0.485148453,0.022177195,1
2182,-18.81777,47.43361,2013,100,11509.79883,0.485148453,0.022177195,1,2274283,11509.7984,0.485148453,0.022177195,1
2183,-18.81777,47.43361,2013,100,11509.79883,0.485148453,0.022177195,1,2274283,11509.7984,0.485148453,0.022177195,1
2184,-18.81777,47.43361,2013,99,11509.79883,0.485148453,0.022177195,1,2274283,11509.7984,0.485148453,0.022177195,1
2185,-18.81777,47.43361,2013,100,11509.79883,0.485148453,0.022177195,1,2274283,11509.7984,0.485148453,0.022177195,1
2186,-18.81777,47.43361,2013,100,11509.79883,0.485148453,0.022177195,1,2274283,11509.7984,0.485148453,0.022177195,1
2187,-18.81777,47.43361,2013,100,11509.79883,0.485148453,0.022177195,1,2274283,11509.7984,0.485148453,0.022177195,1
2188,-18.81777,47.43361,2013,100,11509.79883,0.485148453,0.022177195,1,2274283,11509.7984,0.485148453,0.022177195,1
