Latitude,Longitude,Mosquito_collection_year_end,IR_Test_%mortality
17.57069,-3.99617,2015,41
14.34855,-3.61031,2015,45
14.25,-6,2015,49
12.86666,-7.56666,2015,49
10.55,-5.76667,2015,54
11.616667,-8.233333,2015,56
11.616667,-8.233333,2015,57
14.25,-6,2015,58
10.55,-5.76667,2015,63
12.65001,-7.99986,2015,63
12.95,-5.75,2015,64
13.04114,-9.48472,2015,65
13.0683,-6.82792,2015,66
13.04114,-9.48472,2015,98
11.41668,-7.48332,2015,79
12.65001,-7.99986,2015,79
12.95,-5.75,2015,83
14.439,-3.3057,2015,90
11.41668,-7.48332,2015,85
14.439,-3.3057,2015,87
-25.060456,33.695881,2015,100
-25.060456,33.695881,2015,100
-17.329,35.591,2015,91
-15.28166,39.64638,2015,100
-15.28166,39.64638,2015,100
-13.12305,39.00671,2015,96
-16.85,36.98333,2015,92
-25.60582,32.25766,2015,100
-25.60582,32.25766,2015,100
-16.09683,35.77207,2015,100
-12.934682,40.349689,2015,99
-25.010974,32.639049,2015,93
-17.329,35.591,2015,69
-24.532291,32.983218,2015,100
-15.12661,39.268662,2015,100
-15.12661,39.268662,2015,99
-16.85,36.98333,2015,74
-16.13985,33.61227,2015,74
-19.08833,33.64861,2015,96
-19.08833,33.64861,2015,96
-25.944444,32.585278,2015,77
-25.944444,32.585278,2015,90
-19.60944,34.74305,2015,98
-19.60944,34.74305,2015,96.5
-19.11638,33.48333,2015,92
-23.8965,35.40949,2015,100
-23.8965,35.40949,2015,100
-26.04126,32.32548,2015,100
-26.04126,32.32548,2015,93
-19.796381,34.884486,2015,96.5
-19.796381,34.884486,2015,99
-12.934682,40.349689,2015,84
-16.13985,33.61227,2015,86
-19.11638,33.48333,2015,86
-23.8965,35.40949,2015,100
-23.8965,35.40949,2015,100
-13.12305,39.00671,2015,88
-25.010974,32.639049,2015,89
6.524392,3.379219,2015,3
6.524392,3.379219,2015,7
8.1211,8.1816,2015,10
13.005873,5.247565,2015,12
6.524392,3.379219,2015,12
6.458518,7.546336,2015,13
6.458518,7.546336,2015,19
8.1211,8.1816,2015,23
13.005873,5.247565,2015,30
8.570515,8.308844,2015,35
4.858077,6.920913,2015,98
9.234403,9.721821,2015,97
4.858077,6.920913,2015,40
4.858077,6.920913,2015,48
8.570515,8.308844,2015,50
4.858077,6.920913,2015,58
8.1211,8.1816,2015,59
6.524392,3.379219,2015,96
13.005873,5.247565,2015,68
6.458518,7.546336,2015,68
9.234403,9.721821,2015,74
13.005873,5.247565,2015,83
9.234403,9.721821,2015,84
6.458518,7.546336,2015,84
8.570515,8.308844,2015,85
8.1211,8.1816,2015,85
9.234403,9.721821,2015,88
8.570515,8.308844,2015,89
-1.30364,30.3187,2015,92
-2.231532,30.112735,2015,58.3
-2.231532,30.112735,2015,64.3
-2.231532,30.112735,2015,74
-2.585431,29.843911,2015,90
-2.585431,29.843911,2015,79
-1.30364,30.3187,2015,80
-1.30364,30.3187,2015,81
-2.585431,29.843911,2015,89.5
14.773238,-17.390791,2015,3
14.773238,-17.390791,2015,17
14.758935,-17.39372,2015,22
14.758935,-17.39372,2015,23
16.4613,-15.68757,2015,23
13.14756,-14.11483,2015,92
13.14756,-14.11483,2015,90
16.4613,-15.68757,2015,100
15.25,-16.4,2015,38
13.49998,-15.04994,2015,97
14.48333,-16.4,2015,90
14.48333,-16.4,2015,94
14.48333,-16.4,2015,94
14.48333,-16.4,2015,92
14.773238,-17.390791,2015,43
14.215158,-13.432969,2015,47
14.773238,-17.390791,2015,47
15.25,-16.4,2015,52
13.98255,-14.558458,2015,56
13.91666,-15.91666,2015,60
14.215158,-13.432969,2015,60
14.5,-17,2015,91
14.758935,-17.39372,2015,62
13.98255,-14.558458,2015,63
14.758935,-17.39372,2015,64
13.49998,-15.04994,2015,64
15.25,-16.4,2015,64
13.98333,-14.8,2015,98
13.98333,-14.8,2015,92
13.98333,-14.8,2015,100
15.25,-16.4,2015,68
14.5,-17,2015,69
13.49668,-13.60629,2015,95
13.14756,-14.11483,2015,77
13.98255,-14.558458,2015,77
14.38638,-16.40166,2015,77
16.4613,-15.68757,2015,78
14.38638,-16.40166,2015,80
14.75,-16.5,2015,81
13.49998,-15.04994,2015,82
13.49998,-15.04994,2015,83
13.98255,-14.558458,2015,84
13.49668,-13.60629,2015,84
14.38638,-16.40166,2015,84
13.98333,-14.8,2015,85
14.75,-16.5,2015,85
14.75,-16.5,2015,85
14.5,-17,2015,86
14.75,-16.5,2015,86
13.14756,-14.11483,2015,88
13.91666,-15.91666,2015,88
14.38638,-16.40166,2015,88
14.5,-17,2015,89
-27.357656,32.22568,2015,87.21
-6.5,36.59,2015,100
-6.5,36.59,2015,100
-10.066269,38.927664,2015,100
-3.21,37.2,2015,19
-10.646234,35.642337,2015,100
-10.646234,35.642337,2015,100
-3.21,37.2,2015,33
-10.066269,38.927664,2015,100
-4.9,35.78333,2015,39
-2.51222,30.65583,2015,100
-2.51222,30.65583,2015,100
-8.45,32.45,2015,100
-10.332301,40.20455,2015,100
-10.332301,40.20455,2015,100
-4.9,35.78333,2015,57
-3.3388,36.7826,2015,57
-8.39215,36.52632,2015,58
-1.5,33.8,2015,60
-8.45,32.45,2015,100
-1.5023,31.3916,2015,61
-3.3388,36.7826,2015,63
-5.45,34.5,2015,100
-5.45,34.5,2015,93
-2.6,33.45,2015,93
-4.10107,35.79504,2015,65
-8.39215,36.52632,2015,66
-6.71377,39.21003,2015,100
-6.71377,39.21003,2015,100
-1.5023,31.3916,2015,70
-3.5,32.36,2015,97
-7.767947,35.686247,2015,97
-7.767947,35.686247,2015,98
-3.2,31.9,2015,98
-3.2,31.9,2015,99
-6.44222,38.90416,2015,78
-1.5,33.8,2015,81
-2.6,33.45,2015,82
-6.44222,38.90416,2015,95
-4.10107,35.79504,2015,84
-3.5,32.36,2015,85
-3.292314,36.825027,2015,57
-4.036285,35.830874,2015,65
-6.445629,38.898935,2015,95
-2.885038,32.231354,2015,98
-7.768021,35.686045,2015,97
-3.837807,32.594025,2015,96.7
-8.067712,37.125859,2015,58
-6.834686,36.991757,2015,100
-6.774241,39.112708,2015,100
-4.906883,35.789884,2015,38.8
-2.589753,33.443959,2015,93.3
-5.74244,34.840325,2015,100
-8.966209,32.310766,2015,100
-3.527647,37.425444,2015,19
-10.311224,40.175981,2015,100
-2.165294,31.537419,2015,70
-1.510191,33.802046,2015,60
-2.495627,30.645875,2015,100
-10.066275,38.927659,2015,100
-10.663595,35.663128,2015,100
-3.292314,36.825027,2015,63
-4.036285,35.830874,2015,84
-6.445629,38.898935,2015,78
-2.885038,32.231354,2015,98.8
-7.768021,35.686045,2015,98
-3.837807,32.594025,2015,85
-8.067712,37.125859,2015,66
-6.834686,36.991757,2015,100
-6.774241,39.112708,2015,100
-4.906883,35.789884,2015,56.8
-2.589753,33.443959,2015,81.7
-5.74244,34.840325,2015,93.3
-8.966209,32.310766,2015,100
-3.527647,37.425444,2015,33.3
-10.311224,40.175981,2015,100
